stop_id,stop_name,stop_desc,stop_lat,stop_lon
1003020,KS16 PUNCAK ALAM FASA 3,JLN RESIDENSI WARNASARI 13/1,3.242167,101.425962
1003448,"KS17 KLINIK 1 MALAYSIA, PUNCAK ALAM",JLN RESIDENSI WARNASARI 13/1,3.240846,101.426662
1009085,KS18 LOTUS PUNCAK ALAM,PERS PUNCAK ALAM 6,3.238838,101.426867
1008504,KS3 LOTUS PUNCAK ALAM,PERS PUNCAK ALAM 1,3.235895,101.427156
1009089,"KS23 PUNCAK BESTARI, PUNCAK ALAM",PERS PUNCAK ALAM 1,3.231074,101.428343
1003787,(M) KS24 PUNCAK ALAM FASA 2,PERS PUNCAK ALAM 1,3.228419,101.431334
1003072,KS344 PUNCAK ALAM FOUNTAIN (BARAT),PERS PUNCAK ALAM 1,3.223005,101.436045
1002648,KS353 PUNCAK ALAM FOUNTAIN (TIMUR),PERS PUNCAK ALAM 3,3.222634,101.437001
1008307,KS25 PETRONAS PUNCAK ALAM,JLN BUKIT CERAKAH,3.220468,101.446085
1003585,KS26 PUNCAK ALAM DRIVING RANGE,JLN BUKIT CERAKAH,3.218445,101.445668
1002549,KS356 PINTU MASUK UITM,JLN MASUK UITM,3.212472,101.450369
1001587,KS27 FAKULTI FARMASI (OPP),JLN FAKULTI,3.2018975909991,101.44896812115
1001589,KS28 HOTEL UITM PUNCAK ALAM,JLN FAKULTI,3.1992125478186,101.44759943415
1008304,KOLEJ DAHLIA 3 (OPP),JLN KOLEJ,3.197691,101.454316
1008305,KOLEJ CASUARINA 2,JLN KOLEJ,3.199111,101.454157
1000572,KS31 KOMPLEKS ANGSANA,JLN KOLEJ,3.2006289856591,101.45174512568
1001584,KS358 KOLEJ RAFFLESIA 6,JLN KOLEJ,3.1991412518425,101.44942909171
1001603,(M) KS32 KOLEJ RAFFLESIA 2,JLN KOLEJ,3.197021,101.450414
1001588,KS33 FAKULTI PENDIDIKAN,JLN FAKULTI,3.1991880510639,101.4473818394
1001586,KS34 FAKULTI FARMASI,JLN FAKULTI,3.2017856496153,101.44878222544
1002548,KS359 PINTU MASUK UITM,JLN MASUK UITM,3.212856,101.449552
1002516,KS35 PUNCAK ALAM DRIVING RANGE,JLN BUKIT CERAKAH,3.218375,101.445366
1008306,KS36 PETRONAS PUNCAK ALAM 1 (OPP),JLN BUKIT CERAKAH,3.220438,101.445703
1000361,KS355 PUNCAK ALAM FOUNTAIN (TIMUR),PERS PUNCAK ALAM 3,3.222292,101.436844
1003071,KS343 PUNCAK ALAM FOUNTAIN (BARAT),PERS PUNCAK ALAM 1,3.222702,101.435852
1003786,(M) KS47 PUNCAK ALAM FASA 2,PERS PUNCAK ALAM 1,3.227762,101.431849
1009088,"(M) KS1 PUNCAK BESTARI, PUNCAK ALAM",PERS PUNCAK ALAM 1,3.231187,101.427894
1008503,KS2 MASJID PUNCAK ALAM (TIMUR),PERS PUNCAK ALAM 1,3.235128,101.426954
1009084,KS8 LOTUS PUNCAK ALAM (OPP),PERS PUNCAK ALAM 6,3.238984,101.426512
1003447,"KS9 KLINIK 1 MALAYSIA, PUNCAK ALAM",JLN RESIDENSI WARNASARI 13/1,3.240252,101.426835
1003041,KS10 PUNCAK ALAM FASA 3,JLN RESIDENSI WARNASARI 13/1,3.241957,101.425942
1006126,KS11 PUSAT NIAGA ASTANA,JLN ASTANA 13/1,3.243252,101.425333
1003729,KS12 SURAU HAJI ISMAIL (OPP),JLN ASTANA 13/1,3.246031,101.427553
1002641,SJ237 TERMINAL PUCHONG UTAMA,JLN PUCHONG UTAMA 3,2.990446,101.615552
1001240,SJ498 BANDAR BUKIT PUCHONG 3 (TIMUR),PERS SAUJANA PUCHONG,2.992163,101.630844
